2019-04-15T16:49:45.253138,AU,Coachella 2019 LIVE Channel 1,lVdJAFBx3DA
2019-04-15T17:19:45.352789,AU,Coachella 2019 LIVE Channel 1,lVdJAFBx3DA
2019-04-15T17:49:49.460402,AU,Coachella 2019 LIVE Channel 1,lVdJAFBx3DA
2019-04-15T18:19:52.830431,AU,Coachella 2019 LIVE Channel 1,lVdJAFBx3DA
2019-04-15T18:49:56.199523,AU,Coachella 2019 LIVE Channel 1,lVdJAFBx3DA
2019-04-21T20:09:02.960958,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T20:39:06.657012,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T21:09:11.076458,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T21:39:15.528756,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T22:09:19.943731,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T22:39:23.436587,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T23:09:27.665075,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-21T23:39:32.139119,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T00:09:36.475087,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T00:39:41.169883,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T01:09:45.580112,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T01:39:50.151675,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T02:09:54.568796,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T02:39:58.268743,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T03:10:03.149024,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T03:40:07.595524,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T04:10:12.095158,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T04:40:16.437929,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T05:10:21.760008,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T05:40:26.249050,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T06:10:30.832086,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T06:40:35.604863,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T07:10:40.187577,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T07:40:44.646203,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T08:10:49.532746,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T08:40:54.286748,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T09:10:58.594752,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T09:41:04.870327,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T10:11:09.296152,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T10:41:13.816950,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T11:11:18.191836,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T11:41:22.953018,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
2019-04-22T12:11:27.712814,AU,Coachella 2019 Curated LIVE,KiYh4tpzPRQ
